PHRASE,TRADITIONAL,PRIORITY,PINYIN,DEFINITION
"21三體綜合症",63885,0,"er4 shi2 yi1 san1 ti3 zong1 he2 zheng4","trisomie; syndrome de Down"
"32位元",62691,0,"32 wei4 yuan2","architecture 32 bit; 32 bits"
"5瓶",43616,0,"5 ping2","billard italien"
"64位元",62692,0,"64 wei4 yuan2","processeur 64 bits"
"APEC藍",63466,0,"APEC 5 Lan2","bleu APEC (désigne le ciel étonnamment bleu et non pollué lors des rassemblements de l'APEC à Pékin)"
"A圈兒",55245,0,"A quan1 r","symbole arobase; @"
"C盤",43617,0,"C pan2","disque dur C; lecteur de démarrage par défaut"
"C羅",43253,0,"C Luo2","pseudonyme de Cristiano Ronaldo"
"DNA鑒定",63465,0,"D N A jian4 ding4","Test d'ADN"
"E仔",43254,0,"e zai3","MDMA (C11H15NO2)"
"G弦褲",55397,0,"G xian2 ku4",string
"K仔",43255,0,"K zai3","Kétamine (argot)"
"K他命",54717,0,"k ta1 ming4","kétamine (C13H16ClNO) (jargon)"
"K房",43256,0,"K fang2",KTV
"K歌",42904,0,"K ge1","karaoké (argot)"
"K粉",43618,0,"K fen3","kétamine (argot)"
"L波",43257,0,"L bo1","onde de Love; onde L; onde de Love L"
"M巾",44040,0,"M jin1","(famil.) serviette hygiénique"
"P圖",42905,0,"P tu2","(Argot Internet) photoshop une image; image photoshoppée"
"P民",42906,0,"P min2","shitizen; roturier; gens du commun"
"P波",43258,0,"P bo1","onde longitudinale; onde de compression; onde primaire; onde P"
"Q波",43259,0,"Q bo1","onde de Love; onde Q; onde de Love Q"
"S波",43260,0,"S bo1","onde secondaire; onde S; onde de cisaillement"
"T字褲",55246,0,"T zi4 ku4","string (sous-vêtement)"
"T波",43261,0,"T bo1","onde T"
"T裇",44313,0,"T xu1",T-shirt
"USB手指",63464,0,"U S B shou3 zhi3","clé USB"
"U型枕",55319,0,"U xing2 zhen3","oreiller de voyage (en U)"
"U形轉彎",62468,0,"U xing2 zhuan3 wan1","demi-tour; U-turn"
"V溝",43619,0,"V gou1","décolleté"
"ࠔ",3619,0,zheng4,(arch.)
"〇",3620,0,ling2,"0; zéro"
