key,TRADITIONAL,PRIORITY,PINYIN,DEFINITION
"一",0,0,yi1,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1)"
"上",1,0,shang4,"on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university)"
"上",1,1,shang3,"see 上聲|上声[shang3 sheng1]"
"下",2,0,xia4,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc)"
"不",3,0,bu4,"(negative prefix); not; no"
"中",4,0,zhong1,"within; among; in; middle; center; while (doing sth); during"
"中",4,1,Zhong1,"China; Chinese; surname Zhong"
"中",4,2,zhong4,"to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery)"
"之",5,0,zhi1,"(possessive particle, literary equivalent of 的); him; her; it"
"也",6,0,ye3,"also; too; (in Classical Chinese) final particle implying affirmation"
"了",7,0,liao3,"to finish; to achieve; to understand"
"了",7,1,le5,"(modal particle intensifying preceding clause); (completed action marker)"
"人",9,0,ren2,"man; person; people; CL:個|个[ge4],位[wei4]"
"他",10,0,ta1,"he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another"
"以",11,0,yi3,"to use; according to; so as to; by means of; in order to; by; with; because"
"以",11,1,Yi3,"abbr. for Israel 以色列[Yi3 se4 lie4]"
"你",14,0,ni3,"you (informal, as opposed to courteous 您[nin2])"
"出",19,0,chu1,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc"
"到",20,0,dao4,"to (a place); until (a time); up to; to go; to arrive"
"前",21,0,qian2,"front; forward; ahead; ago; before; first; former; formerly; future; BC (e.g. 前293年)"
"去",22,0,qu4,"to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed"
"可",23,0,ke3,"can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very"
"可",23,1,ke4,"see 可汗[ke4 han2]"
"同",24,0,tong2,"like; same; similar; together; alike; with"
"和",25,0,he2,"and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means ""and"""
"和",25,1,He2,"surname He; Japanese (food, clothes etc)"
"和",25,2,he4,"cap (a poem); to respond in singing"
"和",25,3,huo4,"to mix together; to blend"
"和",25,4,huo2,"soft; warm"
"和",25,5,hu2,"to complete a set in mahjong or playing cards"
"在",30,0,zai4,"(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress)"
"地",31,0,di4,"earth; ground; field; place; land; CL:片[pian4]"
"地",31,1,de5,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct"
"多",32,0,duo1,"many; much; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means ""how"""
"大",33,0,da4,"big; huge; large; major; great; wide; deep; oldest; eldest"
"大",33,1,dai4,"see 大夫[dai4 fu5]"
"天",34,0,tian1,"day; sky; heaven"
"好",35,0,hao3,"good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); to be in love (e.g. 学姐，你跟他好了，就不怕代沟么？)"
"好",35,1,hao4,"to be fond of; to have a tendency to; to be prone to"
"如",36,0,ru2,"as; as if; such as"
"子",37,0,zi5,"(noun suffix)"
"子",37,1,zi3,"son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]"
"家",40,0,jia1,"home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]"
"家",40,1,Jia1,"surname Jia"
